time	Id(amp:M1)	Id(amp:M2)
Step Information: Temp=-50  (Run: 1/9)
4.585659118282891e-004	-3.347044e-002	1.946563e-005
4.614955993282891e-004	-3.081473e-002	1.960093e-005
4.644252868282891e-004	-2.815246e-002	1.976934e-005
4.673549743282891e-004	-2.548587e-002	1.998245e-005
4.702846618282891e-004	-2.281777e-002	2.025740e-005
4.732143493282891e-004	-2.015187e-002	2.062041e-005
4.761440368282891e-004	-1.749333e-002	2.111344e-005
4.790737243282891e-004	-1.484979e-002	2.180777e-005
4.820034118282891e-004	-1.223343e-002	2.283379e-005
4.849330993282891e-004	-9.665091e-003	2.445576e-005
4.878627868282891e-004	-7.181898e-003	2.730652e-005
4.907924743282891e-004	-4.856637e-003	3.325260e-005
4.937221618282891e-004	-2.831317e-003	5.036313e-005
4.966518493282891e-004	-1.289185e-003	1.322232e-004
4.991686288949819e-004	-4.771405e-004	8.382861e-004
5.012853165232058e-004	-1.515745e-004	3.606049e-003
5.021498693732805e-004	-1.052939e-004	6.879955e-003
5.028483284586446e-004	-1.027262e-004	1.002873e-002
5.034728192880550e-004	-1.096836e-004	1.063881e-002
5.038900201643409e-004	-1.125136e-004	9.535077e-003
5.043904035867368e-004	-1.095995e-004	8.390988e-003
5.048967168249446e-004	-1.036122e-004	8.925135e-003
5.053769334786935e-004	-1.004979e-004	1.078167e-002
5.058815652028187e-004	-1.022677e-004	1.259116e-002
5.064298018746399e-004	-1.065104e-004	1.290410e-002
5.069572504366600e-004	-1.078366e-004	1.199930e-002
5.074807767181284e-004	-1.048351e-004	1.155831e-002
5.079522204546420e-004	-1.014810e-004	1.251050e-002
5.084851731564155e-004	-1.010998e-004	1.434539e-002
5.090664148495121e-004	-1.041868e-004	1.540787e-002
5.095648461268741e-004	-1.061634e-004	1.501856e-002
5.101119329190779e-004	-1.047371e-004	1.441151e-002
5.106521859824974e-004	-1.016690e-004	1.507051e-002
5.111814305446188e-004	-1.008950e-004	1.669034e-002
5.117297969323429e-004	-1.031933e-004	1.782766e-002
5.122391405173536e-004	-1.051303e-004	1.762540e-002
5.128014651344812e-004	-1.041518e-004	1.709251e-002
5.133701743268015e-004	-1.015081e-004	1.773442e-002
5.139099634043328e-004	-1.009739e-004	1.926466e-002
5.144739371902950e-004	-1.031298e-004	2.028343e-002
5.149914711332254e-004	-1.046110e-004	2.004366e-002
5.155621510637135e-004	-1.033561e-004	1.966376e-002
5.161158789080369e-004	-1.012897e-004	2.047309e-002
5.167339554712893e-004	-1.014357e-004	2.209691e-002
5.173203017470256e-004	-1.035164e-004	2.272986e-002
5.178561430747174e-004	-1.041038e-004	2.235845e-002
5.184441364724859e-004	-1.022214e-004	2.237950e-002
5.189689039362061e-004	-1.009162e-004	2.349797e-002
5.195503909740129e-004	-1.019681e-004	2.484540e-002
5.201283797857431e-004	-1.036031e-004	2.504058e-002
5.207608801318807e-004	-1.030877e-004	2.475366e-002
5.213980815373288e-004	-1.012650e-004	2.552412e-002
5.219852304039231e-004	-1.013650e-004	2.691543e-002
5.225977894402874e-004	-1.031736e-004	2.753203e-002
5.231521794617012e-004	-1.035024e-004	2.723248e-002
