temperature	V(n005)	V(n006)
1.058999999999900e+002	3.303605e-001	2.741065e-001
1.057999999999900e+002	3.302733e-001	2.743706e-001
1.056999999999899e+002	3.301860e-001	2.746347e-001
1.055999999999899e+002	3.300988e-001	2.748987e-001
1.054999999999899e+002	3.300115e-001	2.751627e-001
1.053999999999899e+002	3.299243e-001	2.754267e-001
1.052999999999898e+002	3.298371e-001	2.756908e-001
1.051999999999898e+002	3.297498e-001	2.759548e-001
1.050999999999898e+002	3.296626e-001	2.762187e-001
1.049999999999898e+002	3.295753e-001	2.764827e-001
1.048999999999898e+002	3.294881e-001	2.767467e-001
1.047999999999897e+002	3.294008e-001	2.770107e-001
1.046999999999897e+002	3.293136e-001	2.772746e-001
1.045999999999897e+002	3.292263e-001	2.775386e-001
1.044999999999897e+002	3.291391e-001	2.778025e-001
1.043999999999896e+002	3.290518e-001	2.780665e-001
1.042999999999896e+002	3.289645e-001	2.783304e-001
1.041999999999896e+002	3.288773e-001	2.785943e-001
1.040999999999896e+002	3.287900e-001	2.788582e-001
1.039999999999895e+002	3.287027e-001	2.791221e-001
1.038999999999895e+002	3.286155e-001	2.793860e-001
1.037999999999895e+002	3.285282e-001	2.796499e-001
1.036999999999895e+002	3.284410e-001	2.799137e-001
1.035999999999895e+002	3.283537e-001	2.801776e-001
1.034999999999894e+002	3.282664e-001	2.804414e-001
1.033999999999894e+002	3.281792e-001	2.807053e-001
1.032999999999894e+002	3.280919e-001	2.809691e-001
1.031999999999894e+002	3.280046e-001	2.812329e-001
1.030999999999893e+002	3.279173e-001	2.814967e-001
1.029999999999893e+002	3.278301e-001	2.817605e-001
1.028999999999893e+002	3.277428e-001	2.820244e-001
1.027999999999893e+002	3.276555e-001	2.822881e-001
1.026999999999893e+002	3.275682e-001	2.825519e-001
1.025999999999892e+002	3.274809e-001	2.828157e-001
1.024999999999892e+002	3.273937e-001	2.830794e-001
1.023999999999892e+002	3.273064e-001	2.833432e-001
1.022999999999892e+002	3.272191e-001	2.836069e-001
1.021999999999891e+002	3.271318e-001	2.838706e-001
1.020999999999891e+002	3.270445e-001	2.841344e-001
1.019999999999891e+002	3.269573e-001	2.843980e-001
1.018999999999891e+002	3.268700e-001	2.846618e-001
1.017999999999890e+002	3.267827e-001	2.849255e-001
1.016999999999890e+002	3.266954e-001	2.851891e-001
1.015999999999890e+002	3.266081e-001	2.854528e-001
1.014999999999890e+002	3.265208e-001	2.857165e-001
1.013999999999890e+002	3.264335e-001	2.859801e-001
1.012999999999889e+002	3.263462e-001	2.862438e-001
1.011999999999889e+002	3.262589e-001	2.865074e-001
1.010999999999889e+002	3.261716e-001	2.867710e-001
1.009999999999889e+002	3.260843e-001	2.870346e-001
1.008999999999888e+002	3.259970e-001	2.872983e-001
1.007999999999888e+002	3.259097e-001	2.875618e-001
1.006999999999888e+002	3.258224e-001	2.878254e-001
